English,Hindi
Peripheral power,परिधीय शक्ति
Peripheral spectrum,परिरेखीय मानावली
Periscope,"परिदर्शी, पेरिस्कोप"
Perisphere,परिमंडल
Peritectic,"परिक्रांतिक, पेरिटेक्टिक"
Peritectic point,परिक्रांतिक बिन्दु
Peritectic temperature,"परिक्रांतिक ताप, पेरिटेक्टिक ताप"
Permadur,परमेडूर
Permalloy,परमेलॉय
Permanent,"चिरस्थायी, स्थायी"
Permanent deformation,स्थायी विरूपण
Permanent echo,स्थायी प्रतिध्वनि
Permanent magnet,स्थायी चुंबक
Permanent translation,स्थायी स्थानांतरण
Permanent wave,स्थायी तरंग
Permasyn motor,परमैसिन मोटर
Permatron,परमेट्रॉन
Permeability,पारगम्यता
Permeability bridge,चुंबकशीलता सेतु
Permeability coefficient,पारगम्यता गुणांक
Permeability constant,पारगम्यता नियतांक
Permeability curve,पारगम्यता वक्र
Permeability tuning,चुंबकशीलता समस्वरण
Permeance,पारगमन
Perminvar,पर्म-इन्वार
Permissible,"अनुमेय, अनुज्ञेय"
Permissible discordance,अनुमेय असंगति
Permissible dose,अनुमेय मात्रा
Permissible limit of error,अशुद्धि की अनुमेय सीमा
Permitted orbit,अनुमत कक्षा
Permittivity,"विद्युतशीलता, परावैद्युतांक"
Permivac,परमीवक
Perpendicular,लंब
Perpendicular attact,लंब आक्रमण
Perpendicular axis theorem,लंब अक्ष प्रमेय
Perpendicular band,अभिलंब बैंड
Persistence (=after glow),पश्चदीप्ति
Persistence characteristic (=decay charactgeristic),क्षय अभिलक्षण
Persistence of vision,दृष्टि निर्बन्ध
Persistence screen,दीर्घस्थायित्व परदा
Persistence time,धृति-काल
Persistent,"दीर्घस्थायी, अपाती"
Persistent current,दीर्घस्थायी धारा
Persistent line,दुलोप रेखा
Perspicacity (of music),तीक्ष्ण ग्राहिता
Pert analysis,पर्ट विश्लेषण
Perturbation,क्षोभ
Perturbation field,क्षोभ-क्षेत्र
Perturbation method,क्षोभ-विधि
Perturbation pressure,क्षोभ-दाब
Perturbation problem,क्षोभ-समस्या
Perturbation prodedure,क्षोभ-क्रियाविधि
Perturbation temperature,क्षोभ-तापमान
Perturbation term,क्षोभ पद
Perturbation theory,क्षोभ सिद्धांत
Perturbation variable,क्षोभ-चर
Perturbed motion,क्षुब्ध गति
Perturbed velocity potential,क्षुब्ध वेग विभव
Perturbing effect,क्षोभकारी प्रभाव
Perturbing field,क्षोभकारी क्षेत्र
Perturbing force,क्षोभकारी बल
Perturbing level,क्षोभकारी स्तर
Perturbing operator,क्षोभकारी संकारक
Peruvian cloth,पेरू वस्त्र
Perveance,परविएन्स
Petticoat insulator,पेटीकोट रोधी
Petzval condition,पैटज्वल अवस्था
Petzval lens,पैटज्वल लेन्स
Petzval surface,पैटज्वल पृष्ठ
Pfund series,फुंट श्रेणी
PH-value,pH-मान
Phanastron,फ़ैनेस्ट्रान
Phanotron,फ़ैनोस्ट्रान
Phantastron,फ़ैन्टेस्ट्रॉन
Phantom,"फ़ैन्टम, ऊतकानुकारी"
Phantom acceleration,अपर त्वरण
Phantom circuit,अपर परिपथ
Phantom connection,अपर सम्बंधन
Phantom group,फैन्टम समूह
Phantom horizon,कल्पित क्षितिज
Phantom loading,आभासी लोडन
Phantom material,"फ़ैन्टम पदार्थ, ऊतकानुकारी पदार्थ"
Phantom repeating coil,फैन्टम पुनरावर्ती कुंडली
Phantom triplet,फ़ैन्टम त्रिक
Phase,"प्रावस्था, कला, कोणांक"
Phase advancer,कला अग्रसरित्र
Phase angle,कला-कोण
Phase angle error,कला कोण त्रुटि
Phase balance relay,कला संतुलन रिले
Phase cancellation,कला रद्द
Phase cell,कला कोष्ठिका
Phase change coefficient,कलान्तर गुणांक
Phase coherence,कला संबद्धता
Phase coincidence,कला संपात
Phase conductor,कला चालक
Phase conjugate system,कला संयुग्मी तंत्र
Phase constant,कला नियतांक
Phase contrast,कला विपर्यास
Phase contrast microscope,कला विपर्यासी सूक्ष्मदर्शी
Phase converter,कला परिवर्तित्र
Phase curve,प्रावस्था वक्र
Phase delay,कला विलंब
Phase density,कला घनत्व
Phase detector,कला संसूचक
Phase diagram,प्रावस्था आरेख
Phase difference,कलांतर
Phase displacement,कला विस्थापन
Phase distrotion,कला विरूपण
Phase division multiplexing,कला विभाग बहुसंकेतन
Phase equaliser,कला संतोलक
Phase factor,प्रावस्था गुणक
Phase focussing,कला फ़ोकसन
Phase front,कलाग्र
Phase function,प्रावस्था फलन
Phase inverter,कला प्रतीपक
Phase invertor amplifier,कला प्रतीपक प्रवर्धक
Phase lag,प्रावस्था-पश्चता
Phase lead,कला अग्रता
Phase localizer,कलीय स्थान निर्धारक
Phase lock detection,कला अभिबन्ध संसूचन
Phase margin,कला परिसर
Phase marker,कला चिह्नक
Phase matching,कला सुमेलन
Phase modifier,कला आपरिवर्तक
Phase modulation,कला माडुलन
Phase of logarithmic growth,सघुगणकीय वृद्धि प्रावस्था
Phase of moon,चंद्रमा की कला
Phase of negative growth acceleration,ऋणात्मक वृद्धित्वरण प्रावस्था
Phase of structure factor,संरचना गुणक की कला
Phase operator,कला संकारक
Phase pattern,"कला चित्राम, कला पैटर्न"
Phase plane method,कला पृष्ठ विधि
Phase plate,कला-पट्टिका
Phase point,कला-बिन्दु
Phase problem,कला समस्या
Phase quadrature,कला समकोणता
Phase range,प्रवस्था परिसर
Phase regulation,कला नियंत्रण
Phase resonance (=velocity resonance),कला अनुनाद
Phase reversal,कला व्युत्क्रमण
Phase rotation relay,कला घूर्णन रिले
Phase rule,प्रावस्था नियम
Phase sensitive detector,कला सुग्राही संसूचक
Phase sequence relay,कला अनुक्रम रिले
Phase shift,कला विस्थापन
Phase shift analysis,कला विस्थापन विश्लेषण
Phase shift discriminator,कला विस्थापी विवेचक
Phase shift oscillator,कला विस्थापी दोलक
Phase shifter,कला विस्थापक
Phase slowness,कला मंदता
Phase speed,कला चालक
Phase stability,प्रावस्था-स्थायित्व
Phase stable orbit,स्थायी कला कक्षा
Phase synchronised,कला तुल्यकालित
Phase theory,प्रावस्था सिद्धान्त
Phase transformation,प्रावस्था रूपांतरण
Phase transition,प्रावस्था संक्रमण
Phase undervoltage relay,कला अववोल्टता रिले
Phase variable,प्रावस्था चर
Phase velocity,प्रावस्था वेग
Phase volume,प्रावस्था आयतन
Phase-shifting transformer,कला-विस्थापन परिणामित्र
Phaser,"कला विस्थापक, कलासमंजक"
Phasing,"चित्रसमंजन, कला समंजन"
Phasing line,कला समंजन लाइन
Phasing system,कला समंजन तन्त्र
Phasitron,फ़ैजिट्रान
Phasor,फ़ेजर
Phasotron,फेजोट्रॉन
Phenomenologial,"परिघटनात्मक, वृत्तिकीय"
Phenomenological electrodynamics,परिघटनात्मक विद्युत्गतिकी
Phenomenological equation,परिघटनात्मक समीकरण
Phenomenon,"परिघटना, वृत्त"
Phenomenon of electrostriction,वैद्युत विरूपण परिघटना
Phenomenon of scattering,प्रकीर्णन-परिघटना
Phjotovaristor,प्रकाशवेरिस्टर
Phnotoenegraving,फोटोउत्कीर्णन
Phon,फ़ान
Phon plug,फोन प्लग
Phonation,"उच्चारण, स्वनन"
Phonautograph,फ़ोनोटोग्राफ
Phone,"फ़ोन, टेलीफ़ोन"
Phoneme boundary,स्वनिम सीमा
Phonetic pattern,स्वर-चित्राम
Phonetic value,ध्वनि मान
Phonic wheel,"ध्वनिक पहिया, ध्वनिक चक्र"
Phonodiek,फ़ोनोडाइक
Phonogram,फ़ोनोग्राम
Phonograph,फ़ोनोग्राफ
Phonograph amplifier,फ़ोनोग्राफ प्रवर्धक
Phonograph needle,फ़ोनोग्राफ सुई
Phonometer,ध्वनिमापी
Phonon,"फ़ोनान, ध्वनि क्वान्टम"
Phonon emission,फोनॉन उत्सर्जन
Phonon wind,फोनॉन वात
Phosphor,संदीपक
Phosphoresce,स्फुरदीप्त होना
Phosphorescence,स्फुरदीप्ति
Phosphorescent,स्फुरदीप्त
Phosphorescent memory screen,स्फुरदीप्त मेमोरी स्क्रीन
Phosphoroscope,स्फुरदीप्तिदर्शी
Phot,फोट
Photister (=photo transister),"फोटिस्टर, प्रकाश ट्रांजिस्टर"
Photo,"फोटो-, भा-, प्रकाश"
Photo active,प्रकाश सक्रिय
Photo cell,"फोटो सेल, प्रकाश सेल"
Photo conducting cell,प्रकाश चालकीय सेल
Photo dosimetry,प्रकाश मात्रामिति
Photo effect,फ़ोटॉन प्रभाव
Photo electret,फोटो इलेक्ट्रेट
Photo electron,"फोटॉनज इलेक्ट्रॉन, प्रकाशिक इलेक्ट्रॉन"
Photo emitter,प्रकाश विद्युत् उत्सर्जक
Photo enlarger,फोटो विवर्धक
Photo ferroelectric effect,प्रकाश लोहविद्युत् प्रभाव
Photo fission,फ़ोटोनज विखंडन
Photo heliograph,"फोटो हीलिओग्राफ, सौर प्रकाशमंडल लेखी"
Photo induced reaction,फ़ोटॉन प्रेरित अभिक्रिया
Photo junction battery,प्रकाश संधि बैटरी
Photo luminiscence,प्रकाश संदीप्ति
Photo magnetoelectric effect,प्रकाशचुंबकीय विद्युत् प्रभाव
Photo nuclear effect,प्रकाश नाभिकीय विद्युत्-प्रभाव
Photo thermoelasticity,प्रकाश ताप-प्रत्यास्थता
Photo tube,प्रकाशइलेक्ट्रॉन नलिका
Photo viscoelasticity,प्रकाश श्यान-प्रत्यास्थता
Photo-actinic ray,"प्रकाश क्रियाशील किरण, प्रकाश रसोक्रियकिरण"
Photo-conductive cell,प्रकाश चालकीय सेल
Photo-disntegration (=photo nuclear reaction),"फ़ोटोनज विघटन, फ़ोटोनज न्यूक्लीय अभिक्रिया"
Photo-electric emission,प्रकाश विद्युत् उत्सर्जन
Photo-electric exposure meter,"प्रकाश विद्युत् उद्भासनमापी, प्रकाश विद्युत ऐक्सपोजर मापी"
Photo-electric ion,प्रकाश विद्युत् आयन
Photo-electric threshold,प्रकाश विद्युत देहली
Photo-electric yield,"प्रकाश विद्युत् उत्पादन, प्रकाश विद्युत् उत्पादन"
Photo-emission,प्रकाश इलेक्ट्रॉन उत्सर्जन
Photo-energy,प्रकाश ऊर्जा
Photo-excitation,प्रकाशिक उत्तेजन
Photo-meson,फ़ोटॉनज मेसान
Photo-reaction,"फ़ोटॉनी-अभिक्रिया, प्रकाश-अभिक्रिया"
Photo-sensitivity,"प्रकाश-सुग्राहिता, प्रकाश-संवेदिता"
Photoacoustic,प्रकाशध्वानिक
Photoacoustic spectroscopy,प्रकाशध्वानिक स्पेक्ट्रमिकी
Photoamplifier (=photomultiplier),प्रकाश इलेक्ट्रॉन संवर्धक
Photocathode,प्रकाशिक कैथोड
Photochemical,प्रकाश रसायनिक
Photochemical effect,प्रकाश रसायनिक प्रभाव
Photochemical excitation,प्रकाश रसायनिक उत्तेजन
Photochemical induction,प्रकाश-रसायनिक प्रेरण
Photochemical sensitiser,"प्रकाशरसायनिक सुग्राहक, प्रकाश रसायनिक सेन्जिटाइजर"
Photochemical sensitivity,प्रकाश रसायनी संवेदनशीलता
Photoconduction diode,प्रकाश चालकीय डायोड
Photoconductive rersponse,प्रकाश चालन अनुक्रिया
Photoconductive switch,प्रकाश चालकीय स्विच
Photoconductivity,प्रकाशिक चालकता
Photocopy,फोटो-प्रतिलिपि
Photocopying,फोटो प्रतिलिपीयन
Photocurrent,प्रकाश विद्युत् धारा
Photocurrent coefficient,"प्रकाश विद्युत् धारा गुणांक, फ़ोटानज धारा गुणांक"
Photodichroic material,प्रकाश-द्विवर्णी पदार्थ
Photodiode,"फ़ोटोडायोड, प्रकाश चालकीय डायोड"
Photoelasticity,प्रकाश प्रत्यास्थता
Photoelectric,"प्रकाशवैद्युत, प्रकाश विद्युत्"
Photoelectric absorption,प्रकाशवैद्युत् अवशोषण
Photoelectric cell,प्रकाशवैद्युत्  सेल
Photoelectric constant,प्रकाश वैद्युत स्थिरांक
Photoelectric cross-section,फ़ोटॉन इलेक्ट्रॉनीय परिक्षेत्र
Photoelectric effect,प्रकाश-विद्युत् प्रभाव
Photoelectric fatigue,प्रकाश विद्युत् श्रांति
Photoelectric method,प्रकाश विद्युत् विधि
Photoelectric photometer,प्रकाश विद्युत् प्रकाशमापी
Photoelectric polarimeter,प्रकाश विद्युत् ध्रुवणमापी
Photoelectric sensitivity,प्रकाश विद्युत् सुग्राहिता
Photoelectric timer,प्रकाश विद्युत् कालद
Photoelectrical response,प्रकाशवैद्युत् अनुक्रिया
Photoelectricity,प्रकाश-विद्युत्
Photoemissive cell,प्रकाश इलेक्ट्रॉन उत्सर्जक
Photoemissive effect,प्रकाश इलेक्ट्रॉन उत्सर्जक प्रभाव
Photogenic,"छविचित्रणीय, प्रकाशजनक"
Photogrammetry,फोटोग्राममिति
Photograph,फ़ोटोग्राफ
Photographic,फ़ोटोग्राफ़िक
Photographic activity,फ़ोटोग्राफ़िक सक्रियता
Photographic density,फ़ोटोग्राफ़िक घनत्व
Photographic developer,फ़ोटो डेवेलपर
Photographic device,फ़ोटो चित्रण युक्ति
Photographic effect,फ़ोटोग्राफ़िक प्रभाव
Photographic emulsion,फ़ोटोग्राफ़िक इमल्शन
Photographic enlarging,फ़ोटोग्राफिक-विवर्धन
Photographic exposure,"फ़ोटोग्राफ़िक अपावरण, फ़ोटोग्राफ़िक उच्छादन"
Photographic exposure meter,फ़ोटोग्राफ़िक उच्छादनमापी
Photographic film,फ़ोटोग्राफ़िक फ़िल्म
Photographic film leader,फ़ोटोग्राफ़िक फ़िल्म अग्रग
Photographic fixing process,"फ़ोटोग्राफीय स्थायीकर प्रक्रम, फ़ोटोग्राफीय फिक्सन प्रक्रम"
Photographic flight,फ़ोटोग्राफ़ीय उड़ान
Photographic fog density,फ़ोटोग्राफ़िक धूमिलता घनत्व
Photographic gap,फोटो-अन्तराल
Photographic image,फोटोग्राफीय प्रतिबिम्ब
Photographic magnitude,फोटोग्राफीय कांतिमान
Photographic method,फ़ोटोग्राफीय विधि
Photographic negative materials,फ़ोटोग्राफ़िक निगेटिव द्रव्य
Photographic operation,फ़ोटोग्राफ़ीय संक्रिया
Photographic paper recorders,फ़ोटोग्राफ़िक पेपर अभिलेखी
Photographic photometry,फोटोग्राफिक प्रकाशमापिकी
Photographic plate,फ़ोटो की प्लेट
Photographic print,फोटोग्राफीय प्रिंट
Photographic radar record,फ़ोटोग्राफ़िक रेडार अभिलेख
Photographic speed,फ़ोटोग्राफ़िक क्षिप्रता
Photographic telescope,"फ़ोटो चित्रण दूरबीन, फ़ोटो चित्रक दूरदर्शक"
Photographic traces,फ़ोटोग्राफ़ीय अभिलेख
Photographic zenith tube,फ़ोटोग्राफीय शिरोबिंदु नली
Photographic zenith tube,पोटोग्राफीय शिरोबिंदु नली
Photography,"फ़ोटोचित्रण, फ़ोटोग्राफ़ी"
Photoionization,प्रकाशिक आयनन
Photoisland grid,प्रकाश मोचक पट्टिका
Photology,"फोटोलॉजी, बिंबप्रकाशिकी"
Photolysed nuclei,प्रकाश अपघटित केन्द्रक
Photomagnetic effect,फ़ोटॉन चुंबकीय प्रभाव
Photometer,"प्रकाशमापी, फ़ोटोमीटर"
Photometer bench,प्रकाशमापी बेन्च
Photometer trace method,फ़ोटोमीटर अनुरेख विधि
Photometric,"प्रकाशमापीय, प्रकाशमितीय"
Photometric brightness,प्रकाशमापीय द्युति
Photometric standard,प्रकाशमितीय मानक
Photometric surface,प्रकाशमापीय पृष्ठ
Photometric unit,प्रकाशमापीय मात्रक
Photometry,प्रकाशमिति
Photomicrograph,प्रकाश सूक्ष्मलेखी
Photomultiplier (=photo-amplifier),प्रकाश-इलेक्ट्रॉन संवर्धक
Photomultiplier output,प्रकाश इलेक्ट्रॉन संवर्धक उत्पाद
Photomultiplier tube,प्रकाश-इलेक्ट्रॉनी संवर्धन नलिका
Photon,फ़ोटॉन
Photon emission spectrum,फोटॉन उत्सर्जन स्पेक्ट्रम
Photon flux,फोटॉन अभिवाह
Photon gas,फोटॉन गैस
Photon microscope,फोटॉन-सूक्ष्मदर्शी
Photon theory,पोटॉन सिद्धांत
Photon wave,फ़ोटॉन तरंग
Photonegative,प्रकाश ऋणात्मक
Photonegative specimen,प्रकाशऋणात्मक प्रतिरूप
Photoneutron,फ़ोटॉनज न्यूट्रॉन
Photonic,फ़ोटोनी
Photonuclear process,प्रकाश नाभिकीय प्रक्रम
Photonuclear reaction,प्रकाश नाभिकीय अभिक्रिया
Photophone,फ़ोटोफ़ोन
Photopositive,प्रकाशधनात्मक
Photopositive specimen,प्रकाशधनात्मक प्रतिरूप
Photoproton,फोटॉनज प्रोटॉन
Photoptic vision,प्रकाशदिक दृष्टि
Photoquenching,प्रकाशतः शमन
Photoreconnaissance,प्रकाशीय गश्त
Photorecording,प्रकाशतः अभिलेखन
Photosensitive,"प्रकाश-सुग्राही, प्रकाश संवेदी"
Photosensitive cell,प्रकाशसंवेदी कोशिका
Photosensitive element,प्रकाशसुग्राही अवयव
Photosensitive surface,प्रकाशसुग्राही पृष्ठ
Photosphere,प्रकाश-मंडल
Photostage,दीप्त अवस्था
Photostat,फ़ोटोस्टैट
Photostat laboratory,फोटोस्टैट प्रयोगशाला
Photoswitch,फ़ोटोस्विच
Phototelegraphy,"तारचित्र प्रेषण, रेडियो चित्र प्रेषण, दूर चित्र प्रेषण"
Phototelephony,चित्रटेलिफोनी
Phototheodolite,फोटोथियोडोलाइट
Phototimer,प्रकाशीय कालद
Phototransistor,प्रकाश ट्रांजिस्टर
Phototraopism,प्रकाशानुवर्तन
Phototropic,प्रकाशानुवर्ती
Photovoltaic,प्रकाश-वोल्टीय
Photovoltaic cell,प्रकाश वोल्टीय सेल
Photovoltaic effect,प्रकाश वोल्टीय प्रभाव
Photronic cell,फ़ोट्रानिक सेल
Physical,"भौतिक, प्राकृतिक"
